,ScalingFactorS,LoadScalingFactor,electricEnergyKwh,naturalGasEnergyKwh,districtHeatingEnergyKwh,volumeFlowMainVentilatorM3H,PowerDemandMainVentilator,TemperatureBeforeMainVentilator,TemperatureAfterMainVentilator,volumeFlowRegenerationVentilatorM3H,PowerDemandRegenerationVentilator,TemperatureRegenerationHeater,HeatFlowRegenerationHeater,HeatFlowPreCooler/Heater-amb-1,TemperaturePreCooler-amb-1,HeatFlowPreCooler-3-4,TemperaturePreCooler-3-4,HeatFlowPreHeater-5-In,TemperaturePreHeater-5-In,FluidTemperatureInHeatRecoveryUnit,TemperatureInPurgeAir,DewPointTemperatureDryRoom,TemperatureDryRoom,DryRoomHeatLoad,DryRoomMoistureLoad,OutsideRelativeHumidity,OutsideTemperatureDegrees,Preheating,locationVariant
72,2.0,1.0,1595935.2,892826.94,303277.72,6.1258335,15411.423,297.95468,298.49625,1.8352,2816.3188,397.735,137046.33,0.0,288.01157,-20.0,294.49002,37538.64,314.07788,342.7367,310.14398,14.384351,305.50406,4047.5,0.0013888889,0.7777662931992597,27.769243085148926,0.0,JK-13
73,3.0,1.0,2395356.5,1266681.5,559364.75,9.18875,23061.555,297.75555,298.2957,2.7528,4201.4126,397.73502,190374.12,0.0,289.87634,-30.0,295.22183,63107.324,313.8323,343.84656,310.14078,14.249923,304.99237,6071.25,0.0013888889,0.7777662962843721,27.769243081285268,0.0,JK-14
74,4.0,1.0,3194890.8,1598175.1,826694.56,12.251667,30711.902,297.62943,298.16904,3.6704,5584.571,397.73502,243714.3,0.0,291.4368,-40.0,295.78137,91466.28,313.60583,345.09164,310.33292,14.182324,304.6991,8095.0,0.0013888889,0.7777662908761184,27.769243070562432,0.0,JK-15
75,5.0,1.0,3994698.8,1911666.8,1096466.2,15.314584,38372.453,297.5445,298.08386,4.588,6966.861,397.73502,301769.62,0.0,292.7425,-50.0,296.278,120054.555,314.31482,345.90543,310.61426,14.14164,304.51013,10118.75,0.0013888889,0.7777663013320832,27.769243038345888,0.0,JK-16
76,6.0,1.0,4794351.0,2213167.8,1366887.6,18.3775,46032.164,297.48572,298.02493,5.5056,8348.71,397.73502,359574.38,0.0,293.83173,-60.0,296.65536,148656.05,315.09415,346.47687,310.89096,14.114463,304.38113,12142.5,0.0013888889,0.7777663019761119,27.76924304938481,0.0,JK-17
77,7.0,1.0,5595735.0,2506368.8,1637016.6,21.440416,53695.48,297.44476,297.9839,6.4232,9732.838,397.73502,417339.0,0.0,294.73825,-70.0,296.9551,177583.31,314.5996,346.89984,311.1271,14.095023,304.2905,14166.25,0.0013888889,0.7777662947795614,27.769243076344182,0.0,JK-18
78,8.0,1.0,6396870.0,2792833.5,1906696.6,24.503334,61358.01,297.41644,297.97116,7.3408,11161.973,397.73502,475073.66,0.0,295.49075,-80.0,297.19913,206434.62,314.5189,347.22522,311.31888,14.08044,304.22595,16190.0,0.0013888889,0.7777662918548778,27.769243083404714,0.0,JK-19
79,9.0,1.0,7197750.5,3073658.8,2175885.2,27.56625,69043.92,297.48895,298.08228,8.2584,12595.817,397.73502,532789.7,0.0,296.11578,-90.0,297.4017,235160.69,315.54318,347.48343,311.47336,14.069082,304.32492,18213.75,0.0013888889,0.7777662948407479,27.769243080642198,0.0,JK-20
80,0.5,2.0,410930.1,268891.28,1649.9512,1.5314584,3899.658,299.06265,299.61044,0.4588,706.81586,397.73654,62858.203,0.0,284.51974,-5.0,294.0123,2803.4705,315.812,337.58887,309.75577,14.865687,307.93823,2023.75,0.0010478229,0.7777663278323009,27.76924243221183,0.0,JK-21
81,1.0,2.0,791957.9,511958.8,41528.49,3.0629168,7744.611,298.64877,299.19415,0.9176,1396.3457,397.73517,76726.555,0.0,285.78302,-10.0,294.12573,14695.214,315.176,342.08817,309.73843,14.781599,307.17938,4047.5,0.0013888889,0.7777663135998284,27.769243141597,0.0,JK-22
